sample_id	Trim1_R1_NoReads	Trim1_R1_NoBases	Trim1_R2_NoReads	Trim1_R2_NoBases	Trim2_R1_NoReads	Trim2_R1_NoBases	Trim2_R2_NoReads	Trim2_R2_NoBases
Pacuta_ATHC_TP3_2750	20210338	2741382521	20210338	2740646411	20210280	2741377054	20210280	2739515810
Pacuta_ATHC_TP4_1220	16622988	2223165591	16622988	2240685096	16618496	2222561273	16618496	2224922901
Pacuta_ATHC_TP4_2733	22583746	3179759404	22583746	3177749102	22583681	3179751546	22583681	3176419309
Pacuta_ATHC_TP4_2993	17472011	2278379302	17472011	2306410724	17466405	2277652113	17466405	2288884216
Pacuta_ATHC_TP5_1296	16925784	2226134073	16925784	2246514184	16920353	2225403921	16920353	2229397970
Pacuta_ATHC_TP5_2212	19614726	2636399025	19614726	2635590824	19614621	2636390369	19614621	2634441258
Pacuta_ATHC_TP5_2877	19278123	2488075842	19278123	2525360705	19270214	2487062687	19270214	2502429288
Pacuta_ATHC_TP6_1254	16476249	2206161893	16476249	2229515657	16469803	2205285424	16469803	2206800774
Pacuta_ATHC_TP6_2870	17186126	2316359006	17186126	2336045770	17180396	2315580244	17180396	2316028069
Pacuta_ATHC_TP6_2999	16007456	2141971795	16007456	2163843487	16001242	2141152489	16001242	2143555464
Pacuta_ATHC_TP7_1281	19150453	2594440758	19150453	2593458692	19150329	2594428753	19150329	2592323030
Pacuta_ATHC_TP7_2409	20947353	2953340029	20947353	2961279847	20947327	2953336689	20947327	2960175038
Pacuta_ATHC_TP7_2878	21804685	2998900688	21804685	3010276591	21804645	2998895910	21804645	3008938432
Pacuta_ATHC_TP8_1459	17496146	2351450436	17496146	2381058180	17489472	2350539591	17489472	2355695576
Pacuta_ATHC_TP8_2564	22471032	3033382317	22471032	3032662398	22470954	3033374165	22470954	3031324394
Pacuta_ATHC_TP8_2861	17545511	2304720034	17545511	2329210356	17539842	2304016036	17539842	2313524914
Pacuta_ATHC_TP9_1451	16617154	2224345198	16617154	2246942875	16610853	2223490602	16610853	2225691727
Pacuta_ATHC_TP9_2873	17018620	2215142595	17018620	2235851513	17013497	2214463440	17013497	2219918114
Pacuta_ATHC_TP9_2979	19124506	2479563281	19124506	2508951732	19119345	2478898251	19119345	2492950364
Pacuta_HTAC_TP10_1225	11768750	1602839553	11768750	1626064347	11757720	1601352813	11757720	1593199786
Pacuta_HTAC_TP10_1536	18611586	2493143587	18611586	2515979666	18605138	2492290845	18605138	2496233558
Pacuta_HTAC_TP10_2064	15837806	2152546198	15837806	2181502451	15828223	2151230967	15828223	2148279663
Pacuta_HTAC_TP11_1582	18411090	2472996871	18411090	2472315240	18411028	2472991421	18411028	2471276197
Pacuta_HTAC_TP11_1596	20135934	2718362750	20135934	2717806528	20135872	2718357009	20135872	2716669888
Pacuta_HTAC_TP11_1647	18977343	2583752964	18977343	2582721306	18977284	2583747555	18977284	2581578005
Pacuta_HTAC_TP1_1653	21247931	2878836622	21247931	2877817963	21247823	2878826214	21247823	2876567336
